customer_id,customer_name,segment,market_id,active_years
CUST-DE-000001,Sante Carriera,Consumer,1,"[2022, 2023]"
CUST-DE-000002,Angela Höfer,Corporate,1,[2022]
CUST-DE-000003,Dott. Dolores Zeffirelli,Consumer,1,"[2023, 2024]"
CUST-DE-000004,Bernadette Bucher-Strohmayer,Corporate,1,"[2022, 2023]"
CUST-DE-000005,Philip Hartung B.Sc.,Corporate,1,"[2022, 2023]"
CUST-DE-000006,Beni Kraxner,Consumer,1,"[2023, 2024]"
CUST-DE-000007,Melina Gagliardi,Consumer,1,[2022]
CUST-DE-000008,Jannis Hager,Consumer,1,"[2022, 2023, 2024]"
CUST-DE-000009,Dolores Ricolfi,Consumer,1,"[2022, 2023]"
CUST-DE-000010,Mrs Charlotte Fuller,Consumer,1,[2022]
CUST-DE-000011,Nina Stey B.A.,Consumer,1,"[2023, 2024]"
CUST-DE-000012,Dipl.-Ing. Elizabeth Hänel B.Sc.,Government,1,"[2022, 2023]"
CUST-DE-000013,Liam Webb,Consumer,1,"[2022, 2023]"
CUST-DE-000014,Lucia Pauer,Consumer,1,[2022]
CUST-DE-000015,Hilary Robinson,Consumer,1,[2022]
CUST-DE-000016,Reece Dawson,Corporate,1,"[2023, 2024]"
CUST-DE-000017,Patricia Schauer,Consumer,1,"[2023, 2024]"
CUST-DE-000018,Mercedes Finotto,Consumer,1,"[2022, 2023, 2024]"
CUST-DE-000019,Kerry Cole,Consumer,1,"[2023, 2024]"
CUST-DE-000020,Dott. Venancio Comolli,Consumer,1,[2022]
CUST-DE-000021,Daria Parini,Consumer,1,"[2022, 2023]"
CUST-DE-000022,Sig.ra Antonella Brenna,Corporate,1,[2022]
CUST-DE-000023,Enno Ehlert,Consumer,1,"[2022, 2023]"
CUST-DE-000024,Agnieszka Werner,Consumer,1,"[2022, 2023]"
CUST-DE-000025,Dr. Ricardo Franz,Consumer,1,"[2022, 2023, 2024]"
CUST-DE-000026,Prof. Johann Zauner,Corporate,1,[2022]
CUST-DE-000027,Mikhail Pohl,Consumer,1,"[2022, 2023, 2024]"
CUST-DE-000028,Dr. Evangelia Reising,Corporate,1,"[2022, 2023, 2024]"
